rate_rps,completed,p90_ttft_ms,ttft_slo_ms,p90_tpot_ms,tpot_slo_ms,slo_ok,output_tok_s
2.0,200,259.4,79479.35,19.95,92.485,1,488.8
4.0,200,164.6,79479.35,21.82,92.485,1,928.5
8.0,200,194.2,79479.35,25.38,92.485,1,1667.4
12.0,200,211.5,79479.35,28.32,92.485,1,2234.8
16.0,200,222.5,79479.35,29.84,92.485,1,2669.4
20.0,200,232.0,79479.35,30.93,92.485,1,3006.9
24.0,200,249.2,79479.35,32.58,92.485,1,3231.8
32.0,200,258.1,79479.35,33.43,92.485,1,3599.3
