rate_rps,completed,p90_ttft_ms,ttft_slo_ms,p90_tpot_ms,tpot_slo_ms,slo_ok,output_tok_s
1.0,200,326.7,1595.76,19.38,85.08,1,250.2
2.0,200,177.6,1595.76,17.65,85.08,1,489.7
4.0,200,179.8,1595.76,17.68,85.08,1,939.4
6.0,200,184.8,1595.76,17.68,85.08,1,1349.2
8.0,200,184.5,1595.76,17.48,85.08,1,1732.5
12.0,200,216.6,1595.76,17.58,85.08,1,2410.1
16.0,200,232.8,1595.76,17.93,85.08,1,2993.8
