rate_rps,completed,p90_ttft_ms,ttft_slo_ms,p90_tpot_ms,tpot_slo_ms,slo_ok,output_tok_s
2.0,200,141.8,1148.77,17.77,89.215,1,489.9
4.0,200,121.7,1148.77,16.96,89.215,1,940.9
8.0,200,127.8,1148.77,17.27,89.215,1,1738.2
12.0,200,132.8,1148.77,17.4,89.215,1,2421.0
16.0,200,136.4,1148.77,17.83,89.215,1,3016.6
20.0,200,138.0,1148.77,17.78,89.215,1,3525.9
24.0,200,150.2,1148.77,17.9,89.215,1,3975.6
32.0,200,157.2,1148.77,18.28,89.215,1,4722.2
