rate_rps,completed,p90_ttft_ms,ttft_slo_ms,p90_tpot_ms,tpot_slo_ms,slo_ok,output_tok_s
2.0,200,2230.3,173117.85,24.51,104.33,1,483.0
4.0,200,527.1,173117.85,27.01,104.33,1,904.6
8.0,200,630.7,173117.85,31.21,104.33,1,1582.0
12.0,200,1661.6,173117.85,32.63,104.33,1,2079.3
16.0,200,666.2,173117.85,33.46,104.33,1,2460.6
20.0,200,688.2,173117.85,34.26,104.33,1,2771.4
24.0,200,694.3,173117.85,34.67,104.33,1,3001.1
32.0,200,688.3,173117.85,35.09,104.33,1,3340.7
