rate_rps,completed,p90_ttft_ms,ttft_slo_ms,p90_tpot_ms,tpot_slo_ms,slo_ok,output_tok_s
1.0,200,646.0,4697.14,22.06,94.865,1,250.0
2.0,200,821.7,4697.14,25.34,94.865,1,485.4
4.0,200,3698.1,4697.14,31.44,94.865,1,879.5
6.0,200,16265.1,4697.14,27.19,94.865,0,888.2
8.0,200,23931.4,4697.14,27.03,94.865,0,888.6
12.0,200,31589.9,4697.14,27.17,94.865,0,888.2
16.0,200,35431.6,4697.14,27.28,94.865,0,888.4
